,Baja_cliente,Género,Jubilado,Pareja,Hijos,Meses_de_Contrato,Servicio_Telefónico,Multi_Lineas,Servicio_Internet,Seguridad_Online,Servicio_de_Backup,Proteccion_de_Dispositivo,Soporte_Tecnico_Full,Stream_TV,Stream_Movies,Contrato,Factura_Online,Forma_de_Pago,Tarifa_Mensual_Cliente,Total_Tarifas_Cliente,Tarifa_por_Dia
0,0,Femenino,0,1,1,9,1,0,DSL,0,1,0,1,1,0,Anual,1,Factura por correo,65.6,593.3,2.1866666666666665
1,0,Masculino,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Mensual,0,Factura por correo,59.9,542.4,1.9966666666666666
2,1,Masculino,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Mensual,1,Factura electrónica,73.9,280.85,2.4633333333333334
3,1,Masculino,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Mensual,1,Factura electrónica,98.0,1237.85,3.2666666666666666
4,1,Femenino,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Mensual,1,Factura por correo,83.9,267.4,2.796666666666667
5,0,Femenino,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Mensual,1,Tarjeta de crédito (automático),69.4,571.45,2.3133333333333335
6,0,Femenino,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Bianual,1,Débito automático,109.7,7904.25,3.6566666666666667
7,0,Masculino,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Bianual,1,Tarjeta de crédito (automático),84.65,5377.8,2.8216666666666668
8,0,Femenino,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Mensual,1,Factura electrónica,48.2,340.35,1.6066666666666667
9,0,Femenino,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Bianual,1,Factura por correo,90.45,5957.9,3.015
10,0,Masculino,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Bianual,0,Tarjeta de crédito (automático),45.2,2460.55,1.5066666666666668
11,0,Femenino,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Bianual,1,Tarjeta de crédito (automático),116.8,8456.75,3.893333333333333
12,0,Femenino,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Mensual,1,Factura electrónica,68.95,351.5,2.2983333333333333
13,0,Femenino,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Bianual,1,Débito automático,101.3,7261.25,3.3766666666666665
14,0,Femenino,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Bianual,0,Débito automático,45.05,2560.1,1.5016666666666665
15,0,Femenino,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Bianual,1,Tarjeta de crédito (automático),95.75,6849.4,3.191666666666667
16,0,Femenino,0,1,1,34,0,0,DSL,1,0,1,1,1,1,Anual,0,Factura por correo,61.25,1993.2,2.0416666666666665
